viral,platform,format,posted_at,author,views,likes,comments,shares,er,er_basis,hook,caption,transcript,url
VIRAL,youtube,short,2026-05-12T14:22:00+00:00,@example_news_account,565178,26000,432,0,0.0501,views,"What does AI do when no-one's watching","Wild new study from anthropic researchers shows what Claude does when it thinks the conversation is over...","wild new study from anthropic researchers shows what claude code does when it thinks the conversation is over they ran agents in sandboxed environments and recorded behavior the results were strange...",https://www.youtube.com/shorts/EXAMPLE001
VIRAL,instagram,reel,2026-05-13T09:14:00+00:00,@example_creator_a,337768,4704,521,0,0.0156,views,"🔺Comment ""MCP"" and I'll send you access🔻","I think most people are still using Claude waaay too basically right now. They're asking questions, brainstorming, maybe writing scripts. But after testing every single MCP server I could find...","i think most people are still using claude way too basically they're asking questions brainstorming maybe writing scripts but after testing every single mcp server here's the one that changed everything...",https://www.instagram.com/p/EXAMPLE002/
VIRAL,instagram,reel,2026-05-13T16:48:00+00:00,@example_creator_b,231878,3154,287,0,0.0277,views,"Comment ""Guide"" and I'll send you the install steps","The Claude Code skills system just dropped and nobody is talking about how powerful it actually is. I built one that auto-runs my entire content pipeline...","the claude code skills system just dropped and nobody is talking about how powerful it actually is i built one that auto runs my entire content pipeline...",https://www.instagram.com/p/EXAMPLE003/
,youtube,short,2026-05-14T11:30:00+00:00,@example_dev_channel,83282,2800,156,0,0.0354,views,"Anthropic Just Solved The Biggest Claude Code Problem","The new /goal slash command in Claude Code keeps the agent working turn after turn until the completion condition is met. No more babysitting long-running tasks.","anthropic just solved the biggest claude code problem the new slash goal command sets a completion condition once and keeps claude working turn after turn until done no more babysitting...",https://www.youtube.com/shorts/EXAMPLE004
,instagram,reel,2026-05-15T08:02:00+00:00,@example_creator_c,56708,1364,84,0,0.0256,views,"Watching this AI agent just take over and turn a random idea into a working app","Sent claude code a screenshot of my notebook scribbles and it built the whole thing. With tests. In 4 minutes.","sent claude code a screenshot of my notebook scribbles and it built the whole thing with tests in four minutes the dev workflow is genuinely different now...",https://www.instagram.com/p/EXAMPLE005/
VIRAL,youtube,short,2026-05-16T19:15:00+00:00,@example_ai_creator,26584,2100,167,0,0.0853,views,"How I would Learn AI Agents in 10 days","Day 1: build the smallest possible agent. Day 2: give it a tool. Day 3: give it memory. Here's the full 10-day plan I'd follow today.","day one build the smallest possible agent day two give it a single tool day three add memory by day five you should have a working chatbot day seven add a second agent day ten ship something real...",https://www.youtube.com/shorts/EXAMPLE006
,youtube,short,2026-05-15T22:40:00+00:00,@example_finance_pod,25516,302,11,0,0.0123,views,"Changpeng Zhao Says AI Agents Will CHANGE Everything In 10 Years","CZ on the podcast last night talking about how AI agents will compress 10 years of financial workflow change into 18 months.","cz on the podcast talking about how ai agents will compress ten years of financial workflow change into eighteen months his take on automated trading was sharper than i expected...",https://www.youtube.com/shorts/EXAMPLE007
,instagram,reel,2026-05-16T10:05:00+00:00,@example_marketer,20840,418,52,0,0.0225,views,"3 Claude Code skills every marketer should steal","Sharing the 3 Claude Code skills that turned my content workflow upside down. Comment ""skills"" and I'll DM the install commands.","sharing the three claude code skills that turned my content workflow upside down number one content scraper number two content validator number three the script generator comment skills for the dm",https://www.instagram.com/p/EXAMPLE008/
,youtube,short,2026-05-14T13:18:00+00:00,@example_tutor,14315,425,28,0,0.0316,views,"Claude 50 AI Agents in Parallel: Free Open-Source","Ran 50 Claude Code agents in parallel using the new agent SDK. Took my Mac about 8 minutes total instead of 6 hours sequentially.","ran fifty claude code agents in parallel using the agent sdk took my mac eight minutes total instead of six hours sequentially the bottleneck is rate limits not compute...",https://www.youtube.com/shorts/EXAMPLE009
,instagram,reel,2026-05-17T07:50:00+00:00,@example_indie_dev,12918,287,41,0,0.0254,views,"留言「技巧」，我會把完整教學私訊給你！","Built a real-time content trend dashboard using just Claude Code and Apify. Total cost: about a dollar a week. Comment 'skills' for the setup guide.","built a real time content trend dashboard using just claude code and apify total cost about a dollar a week comment skills for the setup guide...",https://www.instagram.com/p/EXAMPLE010/
